"","variable","m","sd","main"
"1","u",0.12535304578074,0.000260074516093034,0.125309599632768
"2","u2e",0.170712879056398,0.000347140017881487,0.170733613346873
"3","j2j",0.0263307718086387,4.0992570571787e-05,0.0263359800721551
"4","e2u",0.0220248375242361,4.39034284180083e-05,0.022021950317981
"5","na2a",0.0218151607867515,3.37866078718789e-05,0.0218068609543966
"6","w_var_eps",0.00976292100667083,0.000100213767436096,0.0097461930334499
"7","w_var_mu",0.00774027483455306,8.67048654198869e-05,0.0077434467538419
"8","w_theta",0.16721969443721,0.00422532199522845,0.167464425779662
"9","dw_ac_0",0.0245470253201113,0.000116664524191337,0.0245182025643741
"10","dw_ac_1",-0.00677058099892422,6.37534798730167e-05,-0.00675523728538165
"11","dw_ac_2",-0.00163279424385493,5.27419050046155e-05,-0.00163214061988443
"12","dw_mean",0.0254399447899699,0.000100276830715686,0.0254347161150804
"13","dw_mean_2",0.0526165964046196,0.000163863483123296,0.0526211380284771
"14","dw_mean_pos",0.715109796591359,0.000351138850885115,0.715114138122098
"15","dw_j2j_2",0.0641320721263117,0.00055270526248882,0.0641895190513872
"16","dw_j2j_pos",0.682225171050872,0.00101960893831434,0.68232444674744
"17","w_mean",10.1649777455127,0.000365543412438483,10.164937300313
"18","w_mean_u2e",9.61169084314205,0.00382771781006421,9.6117466422209
"19","w_u2e_ee_gap",0.553286902370631,0.00381055496800182,0.553190658092063
"20","w_var_u2e",0.400936174146756,0.00491765018063091,0.400610824527449
"21","w_long_ac",0.0916263245538468,0.000346316642527396,0.091646330998893
"22","w_var",0.142719471421131,0.000306986997347913,0.142726389546875
"23","dy_ac_0",0.0971487209199776,0.00699539021228901,0.0975447126114155
"24","dy_ac_1",-0.0336085897632261,0.00258116787445491,-0.0338682840633461
"25","dy_ac_2",-0.00472649963368461,0.00384584723130374,-0.00486388956841335
"26","y_var_eps",0.0400285019393863,0.0128918517518223,0.0430464847180111
"27","y_var_mu",0.0204785421261565,0.0039687248206168,0.0200803653478966
"28","y_theta",-6.28683279127248,36.2995973906513,0.112991562499835
"29","dwdy_cov",0.00097250652239867,0.00013034503820692,0.000987237393369423
"30","gamma_iv_ma0",0.0338438697332958,0.0102752350922304,0.0330576555207071
"31","cov_dydlsep",-0.0124071132511954,0.00395927139026853,-0.0129533554160582
"32","cov_dydle2u",-0.00203317723351494,0.00442293127788662,-0.00253366515962944
"33","cov_dydlj2j",-0.0129339406199203,0.00475063052553317,-0.013286532687812
