"","variable","m","sd","main"
"1","u",0.125322969968078,0.000236925241056736,0.125309599632768
"2","u2e",0.170776948715078,0.000328459101717204,0.170733613346873
"3","j2j",0.0263438880607693,4.83440810841201e-05,0.0263359800721551
"4","e2u",0.0220264317962108,4.40096045198754e-05,0.022021950317981
"5","na2a",0.0218055079544201,3.61324733875526e-05,0.0218068609543966
"6","w_var_eps",0.009753907609818,0.000114641383426442,0.0097461930334499
"7","w_var_mu",0.00774321727416257,9.71795655998028e-05,0.0077434467538419
"8","w_theta",0.167184621754386,0.00404428409902879,0.167464425779662
"9","dw_ac_0",0.0245348573005167,0.000130953099901169,0.0245182025643741
"10","dw_ac_1",-0.0067648598162788,6.91990725966769e-05,-0.00675523728538165
"11","dw_ac_2",-0.00163096019689827,5.27039414030156e-05,-0.00163214061988443
"12","dw_mean",0.0254306830339589,8.77028418701858e-05,0.0254347161150804
"13","dw_mean_2",0.0526065393058825,0.000160344857291708,0.0526211380284771
"14","dw_mean_pos",0.715044177674871,0.000398862281814021,0.715114138122098
"15","dw_j2j_2",0.0641931881205983,0.000602968411793724,0.0641895190513872
"16","dw_j2j_pos",0.68222238886435,0.00112479694168425,0.68232444674744
"17","w_mean",10.1650082094922,0.000364910973888406,10.164937300313
"18","w_mean_u2e",9.61200441923447,0.00430504970393829,9.6117466422209
"19","w_u2e_ee_gap",0.553003790257706,0.00426605434099322,0.553190658092063
"20","w_var_u2e",0.401160658722347,0.00395039320045772,0.400610824527449
"21","w_long_ac",0.0916508358088852,0.00033288587811968,0.091646330998893
"22","w_var",0.142750908373052,0.000326155110842932,0.142726389546875
"23","dy_ac_0",0.0990698621294001,0.00620195741733089,0.101988857745985
"24","dy_ac_1",-0.0346252344299443,0.00254708021925586,-0.0350084188704271
"25","dy_ac_2",-0.00483399031056703,0.00353097806930872,-0.00498394491156221
"26","y_var_eps",0.0418766562795878,0.0114390510184155,0.044417070850856
"27","y_var_mu",0.0201514126483621,0.00451461164006707,0.0220041301820062
"28","y_theta",-35.4429300975586,232.693790207671,0.112207869994339
"29","dwdy_cov",0.00100102082501576,0.000127442843650087,0.00100885358220894
"30","gamma_iv_ma0",0.0351319178955639,0.0108062143402822,0.0311296086390109
"31","cov_dydlsep",-0.0122074805857186,0.00402876703978329,-0.0129533554160582
"32","cov_dydle2u",-0.00242784495274846,0.00409391659128488,-0.00253366515962944
"33","cov_dydlj2j",-0.0123670419161175,0.00508433819990394,-0.013286532687812
